"Notes"	"County"	"County Code"	"Ethnicity"	"Ethnicity Code"	Population
	"Rawlins County, KS"	"20153"	"Hispanic or Latino"	"2135-2"	194
	"Rawlins County, KS"	"20153"	"Not Hispanic or Latino"	"2186-5"	2336
"Total"	"Rawlins County, KS"	"20153"			2530
	"Reno County, KS"	"20155"	"Hispanic or Latino"	"2135-2"	6038
	"Reno County, KS"	"20155"	"Not Hispanic or Latino"	"2186-5"	55960
"Total"	"Reno County, KS"	"20155"			61998
	"Republic County, KS"	"20157"	"Hispanic or Latino"	"2135-2"	113
	"Republic County, KS"	"20157"	"Not Hispanic or Latino"	"2186-5"	4523
"Total"	"Republic County, KS"	"20157"			4636
	"Rice County, KS"	"20159"	"Hispanic or Latino"	"2135-2"	1106
	"Rice County, KS"	"20159"	"Not Hispanic or Latino"	"2186-5"	8431
"Total"	"Rice County, KS"	"20159"			9537
	"Riley County, KS"	"20161"	"Hispanic or Latino"	"2135-2"	6272
	"Riley County, KS"	"20161"	"Not Hispanic or Latino"	"2186-5"	67960
"Total"	"Riley County, KS"	"20161"			74232
	"Rooks County, KS"	"20163"	"Hispanic or Latino"	"2135-2"	120
	"Rooks County, KS"	"20163"	"Not Hispanic or Latino"	"2186-5"	4800
"Total"	"Rooks County, KS"	"20163"			4920
	"Rush County, KS"	"20165"	"Hispanic or Latino"	"2135-2"	127
	"Rush County, KS"	"20165"	"Not Hispanic or Latino"	"2186-5"	2909
"Total"	"Rush County, KS"	"20165"			3036
	"Russell County, KS"	"20167"	"Hispanic or Latino"	"2135-2"	270
	"Russell County, KS"	"20167"	"Not Hispanic or Latino"	"2186-5"	6586
"Total"	"Russell County, KS"	"20167"			6856
	"Saline County, KS"	"20169"	"Hispanic or Latino"	"2135-2"	6412
	"Saline County, KS"	"20169"	"Not Hispanic or Latino"	"2186-5"	47812
"Total"	"Saline County, KS"	"20169"			54224
	"Scott County, KS"	"20171"	"Hispanic or Latino"	"2135-2"	884
	"Scott County, KS"	"20171"	"Not Hispanic or Latino"	"2186-5"	3939
"Total"	"Scott County, KS"	"20171"			4823
	"Sedgwick County, KS"	"20173"	"Hispanic or Latino"	"2135-2"	77640
	"Sedgwick County, KS"	"20173"	"Not Hispanic or Latino"	"2186-5"	438402
"Total"	"Sedgwick County, KS"	"20173"			516042
	"Seward County, KS"	"20175"	"Hispanic or Latino"	"2135-2"	13531
	"Seward County, KS"	"20175"	"Not Hispanic or Latino"	"2186-5"	7897
"Total"	"Seward County, KS"	"20175"			21428
	"Shawnee County, KS"	"20177"	"Hispanic or Latino"	"2135-2"	22671
	"Shawnee County, KS"	"20177"	"Not Hispanic or Latino"	"2186-5"	154204
"Total"	"Shawnee County, KS"	"20177"			176875
	"Sheridan County, KS"	"20179"	"Hispanic or Latino"	"2135-2"	144
	"Sheridan County, KS"	"20179"	"Not Hispanic or Latino"	"2186-5"	2377
"Total"	"Sheridan County, KS"	"20179"			2521
	"Sherman County, KS"	"20181"	"Hispanic or Latino"	"2135-2"	736
	"Sherman County, KS"	"20181"	"Not Hispanic or Latino"	"2186-5"	5181
"Total"	"Sherman County, KS"	"20181"			5917
	"Smith County, KS"	"20183"	"Hispanic or Latino"	"2135-2"	84
	"Smith County, KS"	"20183"	"Not Hispanic or Latino"	"2186-5"	3499
"Total"	"Smith County, KS"	"20183"			3583
	"Stafford County, KS"	"20185"	"Hispanic or Latino"	"2135-2"	555
	"Stafford County, KS"	"20185"	"Not Hispanic or Latino"	"2186-5"	3601
"Total"	"Stafford County, KS"	"20185"			4156
	"Stanton County, KS"	"20187"	"Hispanic or Latino"	"2135-2"	762
	"Stanton County, KS"	"20187"	"Not Hispanic or Latino"	"2186-5"	1244
"Total"	"Stanton County, KS"	"20187"			2006
	"Stevens County, KS"	"20189"	"Hispanic or Latino"	"2135-2"	2052
	"Stevens County, KS"	"20189"	"Not Hispanic or Latino"	"2186-5"	3433
"Total"	"Stevens County, KS"	"20189"			5485
	"Sumner County, KS"	"20191"	"Hispanic or Latino"	"2135-2"	1281
	"Sumner County, KS"	"20191"	"Not Hispanic or Latino"	"2186-5"	21555
"Total"	"Sumner County, KS"	"20191"			22836
	"Thomas County, KS"	"20193"	"Hispanic or Latino"	"2135-2"	582
	"Thomas County, KS"	"20193"	"Not Hispanic or Latino"	"2186-5"	7195
"Total"	"Thomas County, KS"	"20193"			7777
	"Trego County, KS"	"20195"	"Hispanic or Latino"	"2135-2"	74
	"Trego County, KS"	"20195"	"Not Hispanic or Latino"	"2186-5"	2729
"Total"	"Trego County, KS"	"20195"			2803
	"Wabaunsee County, KS"	"20197"	"Hispanic or Latino"	"2135-2"	317
	"Wabaunsee County, KS"	"20197"	"Not Hispanic or Latino"	"2186-5"	6614
"Total"	"Wabaunsee County, KS"	"20197"			6931
	"Wallace County, KS"	"20199"	"Hispanic or Latino"	"2135-2"	138
	"Wallace County, KS"	"20199"	"Not Hispanic or Latino"	"2186-5"	1380
"Total"	"Wallace County, KS"	"20199"			1518
	"Washington County, KS"	"20201"	"Hispanic or Latino"	"2135-2"	216
	"Washington County, KS"	"20201"	"Not Hispanic or Latino"	"2186-5"	5190
"Total"	"Washington County, KS"	"20201"			5406
	"Wichita County, KS"	"20203"	"Hispanic or Latino"	"2135-2"	650
	"Wichita County, KS"	"20203"	"Not Hispanic or Latino"	"2186-5"	1469
"Total"	"Wichita County, KS"	"20203"			2119
	"Wilson County, KS"	"20205"	"Hispanic or Latino"	"2135-2"	312
	"Wilson County, KS"	"20205"	"Not Hispanic or Latino"	"2186-5"	8213
"Total"	"Wilson County, KS"	"20205"			8525
	"Woodson County, KS"	"20207"	"Hispanic or Latino"	"2135-2"	104
	"Woodson County, KS"	"20207"	"Not Hispanic or Latino"	"2186-5"	3034
"Total"	"Woodson County, KS"	"20207"			3138
	"Wyandotte County, KS"	"20209"	"Hispanic or Latino"	"2135-2"	49366
	"Wyandotte County, KS"	"20209"	"Not Hispanic or Latino"	"2186-5"	116063
"Total"	"Wyandotte County, KS"	"20209"			165429
	"Adair County, KY"	"21001"	"Hispanic or Latino"	"2135-2"	415
	"Adair County, KY"	"21001"	"Not Hispanic or Latino"	"2186-5"	18787
"Total"	"Adair County, KY"	"21001"			19202
	"Allen County, KY"	"21003"	"Hispanic or Latino"	"2135-2"	515
	"Allen County, KY"	"21003"	"Not Hispanic or Latino"	"2186-5"	20800
"Total"	"Allen County, KY"	"21003"			21315
	"Anderson County, KY"	"21005"	"Hispanic or Latino"	"2135-2"	438
	"Anderson County, KY"	"21005"	"Not Hispanic or Latino"	"2186-5"	22309
"Total"	"Anderson County, KY"	"21005"			22747
	"Ballard County, KY"	"21007"	"Hispanic or Latino"	"2135-2"	117
	"Ballard County, KY"	"21007"	"Not Hispanic or Latino"	"2186-5"	7771
"Total"	"Ballard County, KY"	"21007"			7888
	"Barren County, KY"	"21009"	"Hispanic or Latino"	"2135-2"	1525
	"Barren County, KY"	"21009"	"Not Hispanic or Latino"	"2186-5"	42724
"Total"	"Barren County, KY"	"21009"			44249
	"Bath County, KY"	"21011"	"Hispanic or Latino"	"2135-2"	215
	"Bath County, KY"	"21011"	"Not Hispanic or Latino"	"2186-5"	12285
"Total"	"Bath County, KY"	"21011"			12500
	"Bell County, KY"	"21013"	"Hispanic or Latino"	"2135-2"	305
	"Bell County, KY"	"21013"	"Not Hispanic or Latino"	"2186-5"	25727
"Total"	"Bell County, KY"	"21013"			26032
	"Boone County, KY"	"21015"	"Hispanic or Latino"	"2135-2"	5861
	"Boone County, KY"	"21015"	"Not Hispanic or Latino"	"2186-5"	127720
"Total"	"Boone County, KY"	"21015"			133581
	"Bourbon County, KY"	"21017"	"Hispanic or Latino"	"2135-2"	1350
	"Bourbon County, KY"	"21017"	"Not Hispanic or Latino"	"2186-5"	18438
"Total"	"Bourbon County, KY"	"21017"			19788
	"Boyd County, KY"	"21019"	"Hispanic or Latino"	"2135-2"	877
	"Boyd County, KY"	"21019"	"Not Hispanic or Latino"	"2186-5"	45841
"Total"	"Boyd County, KY"	"21019"			46718
	"Boyle County, KY"	"21021"	"Hispanic or Latino"	"2135-2"	1037
	"Boyle County, KY"	"21021"	"Not Hispanic or Latino"	"2186-5"	29023
"Total"	"Boyle County, KY"	"21021"			30060
	"Bracken County, KY"	"21023"	"Hispanic or Latino"	"2135-2"	141
	"Bracken County, KY"	"21023"	"Not Hispanic or Latino"	"2186-5"	8162
"Total"	"Bracken County, KY"	"21023"			8303
	"Breathitt County, KY"	"21025"	"Hispanic or Latino"	"2135-2"	146
	"Breathitt County, KY"	"21025"	"Not Hispanic or Latino"	"2186-5"	12484
"Total"	"Breathitt County, KY"	"21025"			12630
	"Breckinridge County, KY"	"21027"	"Hispanic or Latino"	"2135-2"	398
	"Breckinridge County, KY"	"21027"	"Not Hispanic or Latino"	"2186-5"	20079
"Total"	"Breckinridge County, KY"	"21027"			20477
	"Bullitt County, KY"	"21029"	"Hispanic or Latino"	"2135-2"	1872
	"Bullitt County, KY"	"21029"	"Not Hispanic or Latino"	"2186-5"	79804
"Total"	"Bullitt County, KY"	"21029"			81676
	"Butler County, KY"	"21031"	"Hispanic or Latino"	"2135-2"	435
	"Butler County, KY"	"21031"	"Not Hispanic or Latino"	"2186-5"	12444
"Total"	"Butler County, KY"	"21031"			12879
	"Caldwell County, KY"	"21033"	"Hispanic or Latino"	"2135-2"	216
	"Caldwell County, KY"	"21033"	"Not Hispanic or Latino"	"2186-5"	12531
"Total"	"Caldwell County, KY"	"21033"			12747
	"Calloway County, KY"	"21035"	"Hispanic or Latino"	"2135-2"	1066
	"Calloway County, KY"	"21035"	"Not Hispanic or Latino"	"2186-5"	37935
"Total"	"Calloway County, KY"	"21035"			39001
	"Campbell County, KY"	"21037"	"Hispanic or Latino"	"2135-2"	2022
	"Campbell County, KY"	"21037"	"Not Hispanic or Latino"	"2186-5"	91562
"Total"	"Campbell County, KY"	"21037"			93584
	"Carlisle County, KY"	"21039"	"Hispanic or Latino"	"2135-2"	117
	"Carlisle County, KY"	"21039"	"Not Hispanic or Latino"	"2186-5"	4643
"Total"	"Carlisle County, KY"	"21039"			4760
	"Carroll County, KY"	"21041"	"Hispanic or Latino"	"2135-2"	742
	"Carroll County, KY"	"21041"	"Not Hispanic or Latino"	"2186-5"	9889
"Total"	"Carroll County, KY"	"21041"			10631
	"Carter County, KY"	"21043"	"Hispanic or Latino"	"2135-2"	385
	"Carter County, KY"	"21043"	"Not Hispanic or Latino"	"2186-5"	26412
"Total"	"Carter County, KY"	"21043"			26797
	"Casey County, KY"	"21045"	"Hispanic or Latino"	"2135-2"	476
	"Casey County, KY"	"21045"	"Not Hispanic or Latino"	"2186-5"	15683
"Total"	"Casey County, KY"	"21045"			16159
	"Christian County, KY"	"21047"	"Hispanic or Latino"	"2135-2"	5731
	"Christian County, KY"	"21047"	"Not Hispanic or Latino"	"2186-5"	64730
"Total"	"Christian County, KY"	"21047"			70461
	"Clark County, KY"	"21049"	"Hispanic or Latino"	"2135-2"	1112
	"Clark County, KY"	"21049"	"Not Hispanic or Latino"	"2186-5"	35151
"Total"	"Clark County, KY"	"21049"			36263
	"Clay County, KY"	"21051"	"Hispanic or Latino"	"2135-2"	423
	"Clay County, KY"	"21051"	"Not Hispanic or Latino"	"2186-5"	19478
"Total"	"Clay County, KY"	"21051"			19901
	"Clinton County, KY"	"21053"	"Hispanic or Latino"	"2135-2"	294
	"Clinton County, KY"	"21053"	"Not Hispanic or Latino"	"2186-5"	9924
"Total"	"Clinton County, KY"	"21053"			10218
	"Crittenden County, KY"	"21055"	"Hispanic or Latino"	"2135-2"	107
	"Crittenden County, KY"	"21055"	"Not Hispanic or Latino"	"2186-5"	8699
"Total"	"Crittenden County, KY"	"21055"			8806
	"Cumberland County, KY"	"21057"	"Hispanic or Latino"	"2135-2"	100
	"Cumberland County, KY"	"21057"	"Not Hispanic or Latino"	"2186-5"	6514
"Total"	"Cumberland County, KY"	"21057"			6614
	"Daviess County, KY"	"21059"	"Hispanic or Latino"	"2135-2"	3351
	"Daviess County, KY"	"21059"	"Not Hispanic or Latino"	"2186-5"	98160
"Total"	"Daviess County, KY"	"21059"			101511
	"Edmonson County, KY"	"21061"	"Hispanic or Latino"	"2135-2"	179
	"Edmonson County, KY"	"21061"	"Not Hispanic or Latino"	"2186-5"	11971
"Total"	"Edmonson County, KY"	"21061"			12150
	"Elliott County, KY"	"21063"	"Hispanic or Latino"	"2135-2"	88
	"Elliott County, KY"	"21063"	"Not Hispanic or Latino"	"2186-5"	7429
"Total"	"Elliott County, KY"	"21063"			7517
	"Estill County, KY"	"21065"	"Hispanic or Latino"	"2135-2"	177
	"Estill County, KY"	"21065"	"Not Hispanic or Latino"	"2186-5"	13929
"Total"	"Estill County, KY"	"21065"			14106
	"Fayette County, KY"	"21067"	"Hispanic or Latino"	"2135-2"	23960
	"Fayette County, KY"	"21067"	"Not Hispanic or Latino"	"2186-5"	299192
"Total"	"Fayette County, KY"	"21067"			323152
	"Fleming County, KY"	"21069"	"Hispanic or Latino"	"2135-2"	214
	"Fleming County, KY"	"21069"	"Not Hispanic or Latino"	"2186-5"	14367
"Total"	"Fleming County, KY"	"21069"			14581
	"Floyd County, KY"	"21071"	"Hispanic or Latino"	"2135-2"	327
	"Floyd County, KY"	"21071"	"Not Hispanic or Latino"	"2186-5"	35262
"Total"	"Floyd County, KY"	"21071"			35589
	"Franklin County, KY"	"21073"	"Hispanic or Latino"	"2135-2"	1836
	"Franklin County, KY"	"21073"	"Not Hispanic or Latino"	"2186-5"	49155
"Total"	"Franklin County, KY"	"21073"			50991
	"Fulton County, KY"	"21075"	"Hispanic or Latino"	"2135-2"	137
	"Fulton County, KY"	"21075"	"Not Hispanic or Latino"	"2186-5"	5832
"Total"	"Fulton County, KY"	"21075"			5969
	"Gallatin County, KY"	"21077"	"Hispanic or Latino"	"2135-2"	460
	"Gallatin County, KY"	"21077"	"Not Hispanic or Latino"	"2186-5"	8409
"Total"	"Gallatin County, KY"	"21077"			8869
	"Garrard County, KY"	"21079"	"Hispanic or Latino"	"2135-2"	383
	"Garrard County, KY"	"21079"	"Not Hispanic or Latino"	"2186-5"	17283
"Total"	"Garrard County, KY"	"21079"			17666
	"Grant County, KY"	"21081"	"Hispanic or Latino"	"2135-2"	721
	"Grant County, KY"	"21081"	"Not Hispanic or Latino"	"2186-5"	24348
"Total"	"Grant County, KY"	"21081"			25069
	"Graves County, KY"	"21083"	"Hispanic or Latino"	"2135-2"	2680
	"Graves County, KY"	"21083"	"Not Hispanic or Latino"	"2186-5"	34586
"Total"	"Graves County, KY"	"21083"			37266
	"Grayson County, KY"	"21085"	"Hispanic or Latino"	"2135-2"	371
	"Grayson County, KY"	"21085"	"Not Hispanic or Latino"	"2186-5"	26056
"Total"	"Grayson County, KY"	"21085"			26427
	"Green County, KY"	"21087"	"Hispanic or Latino"	"2135-2"	210
	"Green County, KY"	"21087"	"Not Hispanic or Latino"	"2186-5"	10731
"Total"	"Green County, KY"	"21087"			10941
	"Greenup County, KY"	"21089"	"Hispanic or Latino"	"2135-2"	400
	"Greenup County, KY"	"21089"	"Not Hispanic or Latino"	"2186-5"	34698
"Total"	"Greenup County, KY"	"21089"			35098
	"Hancock County, KY"	"21091"	"Hispanic or Latino"	"2135-2"	144
	"Hancock County, KY"	"21091"	"Not Hispanic or Latino"	"2186-5"	8578
"Total"	"Hancock County, KY"	"21091"			8722
	"Hardin County, KY"	"21093"	"Hispanic or Latino"	"2135-2"	6490
	"Hardin County, KY"	"21093"	"Not Hispanic or Latino"	"2186-5"	104468
"Total"	"Hardin County, KY"	"21093"			110958
	"Harlan County, KY"	"21095"	"Hispanic or Latino"	"2135-2"	282
	"Harlan County, KY"	"21095"	"Not Hispanic or Latino"	"2186-5"	25728
"Total"	"Harlan County, KY"	"21095"			26010
	"Harrison County, KY"	"21097"	"Hispanic or Latino"	"2135-2"	468
	"Harrison County, KY"	"21097"	"Not Hispanic or Latino"	"2186-5"	18418
"Total"	"Harrison County, KY"	"21097"			18886
	"Hart County, KY"	"21099"	"Hispanic or Latino"	"2135-2"	355
	"Hart County, KY"	"21099"	"Not Hispanic or Latino"	"2186-5"	18680
"Total"	"Hart County, KY"	"21099"			19035
	"Henderson County, KY"	"21101"	"Hispanic or Latino"	"2135-2"	1275
	"Henderson County, KY"	"21101"	"Not Hispanic or Latino"	"2186-5"	43935
"Total"	"Henderson County, KY"	"21101"			45210
	"Henry County, KY"	"21103"	"Hispanic or Latino"	"2135-2"	545
	"Henry County, KY"	"21103"	"Not Hispanic or Latino"	"2186-5"	15581
"Total"	"Henry County, KY"	"21103"			16126
	"Hickman County, KY"	"21105"	"Hispanic or Latino"	"2135-2"	89
	"Hickman County, KY"	"21105"	"Not Hispanic or Latino"	"2186-5"	4291
"Total"	"Hickman County, KY"	"21105"			4380
	"Hopkins County, KY"	"21107"	"Hispanic or Latino"	"2135-2"	977
	"Hopkins County, KY"	"21107"	"Not Hispanic or Latino"	"2186-5"	43709
"Total"	"Hopkins County, KY"	"21107"			44686
	"Jackson County, KY"	"21109"	"Hispanic or Latino"	"2135-2"	121
	"Jackson County, KY"	"21109"	"Not Hispanic or Latino"	"2186-5"	13208
"Total"	"Jackson County, KY"	"21109"			13329
	"Jefferson County, KY"	"21111"	"Hispanic or Latino"	"2135-2"	45355
	"Jefferson County, KY"	"21111"	"Not Hispanic or Latino"	"2186-5"	721402
"Total"	"Jefferson County, KY"	"21111"			766757
	"Jessamine County, KY"	"21113"	"Hispanic or Latino"	"2135-2"	1998
	"Jessamine County, KY"	"21113"	"Not Hispanic or Latino"	"2186-5"	52117
"Total"	"Jessamine County, KY"	"21113"			54115
	"Johnson County, KY"	"21115"	"Hispanic or Latino"	"2135-2"	193
	"Johnson County, KY"	"21115"	"Not Hispanic or Latino"	"2186-5"	21995
"Total"	"Johnson County, KY"	"21115"			22188
	"Kenton County, KY"	"21117"	"Hispanic or Latino"	"2135-2"	5737
	"Kenton County, KY"	"21117"	"Not Hispanic or Latino"	"2186-5"	161261
"Total"	"Kenton County, KY"	"21117"			166998
	"Knott County, KY"	"21119"	"Hispanic or Latino"	"2135-2"	156
	"Knott County, KY"	"21119"	"Not Hispanic or Latino"	"2186-5"	14650
"Total"	"Knott County, KY"	"21119"			14806
	"Knox County, KY"	"21121"	"Hispanic or Latino"	"2135-2"	412
	"Knox County, KY"	"21121"	"Not Hispanic or Latino"	"2186-5"	30733
"Total"	"Knox County, KY"	"21121"			31145
	"Larue County, KY"	"21123"	"Hispanic or Latino"	"2135-2"	463
	"Larue County, KY"	"21123"	"Not Hispanic or Latino"	"2186-5"	13935
"Total"	"Larue County, KY"	"21123"			14398
	"Laurel County, KY"	"21125"	"Hispanic or Latino"	"2135-2"	982
	"Laurel County, KY"	"21125"	"Not Hispanic or Latino"	"2186-5"	59831
"Total"	"Laurel County, KY"	"21125"			60813
	"Lawrence County, KY"	"21127"	"Hispanic or Latino"	"2135-2"	213
	"Lawrence County, KY"	"21127"	"Not Hispanic or Latino"	"2186-5"	15104
"Total"	"Lawrence County, KY"	"21127"			15317
	"Lee County, KY"	"21129"	"Hispanic or Latino"	"2135-2"	100
	"Lee County, KY"	"21129"	"Not Hispanic or Latino"	"2186-5"	7303
"Total"	"Lee County, KY"	"21129"			7403
	"Leslie County, KY"	"21131"	"Hispanic or Latino"	"2135-2"	77
	"Leslie County, KY"	"21131"	"Not Hispanic or Latino"	"2186-5"	9800
"Total"	"Leslie County, KY"	"21131"			9877
	"Letcher County, KY"	"21133"	"Hispanic or Latino"	"2135-2"	181
	"Letcher County, KY"	"21133"	"Not Hispanic or Latino"	"2186-5"	21372
"Total"	"Letcher County, KY"	"21133"			21553
	"Lewis County, KY"	"21135"	"Hispanic or Latino"	"2135-2"	105
	"Lewis County, KY"	"21135"	"Not Hispanic or Latino"	"2186-5"	13170
"Total"	"Lewis County, KY"	"21135"			13275
	"Lincoln County, KY"	"21137"	"Hispanic or Latino"	"2135-2"	425
	"Lincoln County, KY"	"21137"	"Not Hispanic or Latino"	"2186-5"	24124
"Total"	"Lincoln County, KY"	"21137"			24549
	"Livingston County, KY"	"21139"	"Hispanic or Latino"	"2135-2"	229
	"Livingston County, KY"	"21139"	"Not Hispanic or Latino"	"2186-5"	8965
"Total"	"Livingston County, KY"	"21139"			9194
	"Logan County, KY"	"21141"	"Hispanic or Latino"	"2135-2"	808
	"Logan County, KY"	"21141"	"Not Hispanic or Latino"	"2186-5"	26294
"Total"	"Logan County, KY"	"21141"			27102
	"Lyon County, KY"	"21143"	"Hispanic or Latino"	"2135-2"	183
	"Lyon County, KY"	"21143"	"Not Hispanic or Latino"	"2186-5"	8027
"Total"	"Lyon County, KY"	"21143"			8210
	"McCracken County, KY"	"21145"	"Hispanic or Latino"	"2135-2"	1780
	"McCracken County, KY"	"21145"	"Not Hispanic or Latino"	"2186-5"	63638
"Total"	"McCracken County, KY"	"21145"			65418
	"McCreary County, KY"	"21147"	"Hispanic or Latino"	"2135-2"	466
	"McCreary County, KY"	"21147"	"Not Hispanic or Latino"	"2186-5"	16765
"Total"	"McCreary County, KY"	"21147"			17231
	"McLean County, KY"	"21149"	"Hispanic or Latino"	"2135-2"	163
	"McLean County, KY"	"21149"	"Not Hispanic or Latino"	"2186-5"	9044
"Total"	"McLean County, KY"	"21149"			9207
	"Madison County, KY"	"21151"	"Hispanic or Latino"	"2135-2"	2468
	"Madison County, KY"	"21151"	"Not Hispanic or Latino"	"2186-5"	90519
"Total"	"Madison County, KY"	"21151"			92987
	"Magoffin County, KY"	"21153"	"Hispanic or Latino"	"2135-2"	146
	"Magoffin County, KY"	"21153"	"Not Hispanic or Latino"	"2186-5"	12015
"Total"	"Magoffin County, KY"	"21153"			12161
	"Marion County, KY"	"21155"	"Hispanic or Latino"	"2135-2"	522
	"Marion County, KY"	"21155"	"Not Hispanic or Latino"	"2186-5"	18751
"Total"	"Marion County, KY"	"21155"			19273
	"Marshall County, KY"	"21157"	"Hispanic or Latino"	"2135-2"	581
	"Marshall County, KY"	"21157"	"Not Hispanic or Latino"	"2186-5"	30519
"Total"	"Marshall County, KY"	"21157"			31100
	"Martin County, KY"	"21159"	"Hispanic or Latino"	"2135-2"	395
	"Martin County, KY"	"21159"	"Not Hispanic or Latino"	"2186-5"	10800
"Total"	"Martin County, KY"	"21159"			11195
	"Mason County, KY"	"21161"	"Hispanic or Latino"	"2135-2"	363
	"Mason County, KY"	"21161"	"Not Hispanic or Latino"	"2186-5"	16707
"Total"	"Mason County, KY"	"21161"			17070
	"Meade County, KY"	"21163"	"Hispanic or Latino"	"2135-2"	1118
	"Meade County, KY"	"21163"	"Not Hispanic or Latino"	"2186-5"	27454
"Total"	"Meade County, KY"	"21163"			28572
	"Menifee County, KY"	"21165"	"Hispanic or Latino"	"2135-2"	77
	"Menifee County, KY"	"21165"	"Not Hispanic or Latino"	"2186-5"	6412
"Total"	"Menifee County, KY"	"21165"			6489
	"Mercer County, KY"	"21167"	"Hispanic or Latino"	"2135-2"	674
	"Mercer County, KY"	"21167"	"Not Hispanic or Latino"	"2186-5"	21259
"Total"	"Mercer County, KY"	"21167"			21933
	"Metcalfe County, KY"	"21169"	"Hispanic or Latino"	"2135-2"	207
	"Metcalfe County, KY"	"21169"	"Not Hispanic or Latino"	"2186-5"	9864
"Total"	"Metcalfe County, KY"	"21169"			10071
	"Monroe County, KY"	"21171"	"Hispanic or Latino"	"2135-2"	332
	"Monroe County, KY"	"21171"	"Not Hispanic or Latino"	"2186-5"	10318
"Total"	"Monroe County, KY"	"21171"			10650
	"Montgomery County, KY"	"21173"	"Hispanic or Latino"	"2135-2"	797
	"Montgomery County, KY"	"21173"	"Not Hispanic or Latino"	"2186-5"	27360
"Total"	"Montgomery County, KY"	"21173"			28157
	"Morgan County, KY"	"21175"	"Hispanic or Latino"	"2135-2"	138
	"Morgan County, KY"	"21175"	"Not Hispanic or Latino"	"2186-5"	13171
"Total"	"Morgan County, KY"	"21175"			13309
	"Muhlenberg County, KY"	"21177"	"Hispanic or Latino"	"2135-2"	475
	"Muhlenberg County, KY"	"21177"	"Not Hispanic or Latino"	"2186-5"	30147
"Total"	"Muhlenberg County, KY"	"21177"			30622
	"Nelson County, KY"	"21179"	"Hispanic or Latino"	"2135-2"	1021
	"Nelson County, KY"	"21179"	"Not Hispanic or Latino"	"2186-5"	45212
"Total"	"Nelson County, KY"	"21179"			46233
	"Nicholas County, KY"	"21181"	"Hispanic or Latino"	"2135-2"	177
	"Nicholas County, KY"	"21181"	"Not Hispanic or Latino"	"2186-5"	7092
"Total"	"Nicholas County, KY"	"21181"			7269
	"Ohio County, KY"	"21183"	"Hispanic or Latino"	"2135-2"	851
	"Ohio County, KY"	"21183"	"Not Hispanic or Latino"	"2186-5"	23143
"Total"	"Ohio County, KY"	"21183"			23994
	"Oldham County, KY"	"21185"	"Hispanic or Latino"	"2135-2"	2688
	"Oldham County, KY"	"21185"	"Not Hispanic or Latino"	"2186-5"	64111
"Total"	"Oldham County, KY"	"21185"			66799
	"Owen County, KY"	"21187"	"Hispanic or Latino"	"2135-2"	294
	"Owen County, KY"	"21187"	"Not Hispanic or Latino"	"2186-5"	10607
"Total"	"Owen County, KY"	"21187"			10901
	"Owsley County, KY"	"21189"	"Hispanic or Latino"	"2135-2"	76
	"Owsley County, KY"	"21189"	"Not Hispanic or Latino"	"2186-5"	4339
"Total"	"Owsley County, KY"	"21189"			4415
	"Pendleton County, KY"	"21191"	"Hispanic or Latino"	"2135-2"	219
	"Pendleton County, KY"	"21191"	"Not Hispanic or Latino"	"2186-5"	14371
"Total"	"Pendleton County, KY"	"21191"			14590
	"Perry County, KY"	"21193"	"Hispanic or Latino"	"2135-2"	285
	"Perry County, KY"	"21193"	"Not Hispanic or Latino"	"2186-5"	25473
"Total"	"Perry County, KY"	"21193"			25758
	"Pike County, KY"	"21195"	"Hispanic or Latino"	"2135-2"	604
	"Pike County, KY"	"21195"	"Not Hispanic or Latino"	"2186-5"	57272
"Total"	"Pike County, KY"	"21195"			57876
	"Powell County, KY"	"21197"	"Hispanic or Latino"	"2135-2"	228
	"Powell County, KY"	"21197"	"Not Hispanic or Latino"	"2186-5"	12131
"Total"	"Powell County, KY"	"21197"			12359
	"Pulaski County, KY"	"21199"	"Hispanic or Latino"	"2135-2"	1667
	"Pulaski County, KY"	"21199"	"Not Hispanic or Latino"	"2186-5"	63312
"Total"	"Pulaski County, KY"	"21199"			64979
	"Robertson County, KY"	"21201"	"Hispanic or Latino"	"2135-2"	34
	"Robertson County, KY"	"21201"	"Not Hispanic or Latino"	"2186-5"	2074
"Total"	"Robertson County, KY"	"21201"			2108
	"Rockcastle County, KY"	"21203"	"Hispanic or Latino"	"2135-2"	170
	"Rockcastle County, KY"	"21203"	"Not Hispanic or Latino"	"2186-5"	16525
"Total"	"Rockcastle County, KY"	"21203"			16695
	"Rowan County, KY"	"21205"	"Hispanic or Latino"	"2135-2"	429
	"Rowan County, KY"	"21205"	"Not Hispanic or Latino"	"2186-5"	24031
"Total"	"Rowan County, KY"	"21205"			24460
	"Russell County, KY"	"21207"	"Hispanic or Latino"	"2135-2"	715
	"Russell County, KY"	"21207"	"Not Hispanic or Latino"	"2186-5"	17208
"Total"	"Russell County, KY"	"21207"			17923
	"Scott County, KY"	"21209"	"Hispanic or Latino"	"2135-2"	2449
	"Scott County, KY"	"21209"	"Not Hispanic or Latino"	"2186-5"	54555
"Total"	"Scott County, KY"	"21209"			57004
	"Shelby County, KY"	"21211"	"Hispanic or Latino"	"2135-2"	4808
	"Shelby County, KY"	"21211"	"Not Hispanic or Latino"	"2186-5"	44216
"Total"	"Shelby County, KY"	"21211"			49024
	"Simpson County, KY"	"21213"	"Hispanic or Latino"	"2135-2"	475
