"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	"35-44 years"	"35-44"	13	7244	Unreliable
	"Autauga County, AL"	"01001"	"45-54 years"	"45-54"	38	7777	488.6
	"Autauga County, AL"	"01001"	"55-64 years"	"55-64"	76	7164	1060.9
	"Autauga County, AL"	"01001"	"65-74 years"	"65-74"	117	4900	2387.8
	"Autauga County, AL"	"01001"	"75-84 years"	"75-84"	150	2882	5204.7
	"Autauga County, AL"	"01001"	"85+ years"	"85+"	129	871	14810.6
	"Baldwin County, AL"	"01003"	"< 1 year"	"1"	10	2255	Unreliable
	"Baldwin County, AL"	"01003"	"15-24 years"	"15-24"	24	24040	99.8
	"Baldwin County, AL"	"01003"	"25-34 years"	"25-34"	38	24528	154.9
	"Baldwin County, AL"	"01003"	"35-44 years"	"35-44"	53	26033	203.6
	"Baldwin County, AL"	"01003"	"45-54 years"	"45-54"	129	28703	449.4
	"Baldwin County, AL"	"01003"	"55-64 years"	"55-64"	297	31409	945.6
	"Baldwin County, AL"	"01003"	"65-74 years"	"65-74"	543	26738	2030.8
	"Baldwin County, AL"	"01003"	"75-84 years"	"75-84"	613	13529	4531.0
	"Baldwin County, AL"	"01003"	"85+ years"	"85+"	642	4304	14916.4
	"Barbour County, AL"	"01005"	"35-44 years"	"35-44"	11	2981	Unreliable
	"Barbour County, AL"	"01005"	"45-54 years"	"45-54"	15	3227	Unreliable
	"Barbour County, AL"	"01005"	"55-64 years"	"55-64"	50	3211	1557.1
	"Barbour County, AL"	"01005"	"65-74 years"	"65-74"	76	2877	2641.6
	"Barbour County, AL"	"01005"	"75-84 years"	"75-84"	78	1483	5259.6
	"Barbour County, AL"	"01005"	"85+ years"	"85+"	69	472	14618.6
	"Bibb County, AL"	"01007"	"35-44 years"	"35-44"	11	2952	Unreliable
	"Bibb County, AL"	"01007"	"45-54 years"	"45-54"	21	3179	660.6
	"Bibb County, AL"	"01007"	"55-64 years"	"55-64"	43	2897	1484.3
	"Bibb County, AL"	"01007"	"65-74 years"	"65-74"	68	2174	3127.9
	"Bibb County, AL"	"01007"	"75-84 years"	"75-84"	66	1153	5724.2
	"Bibb County, AL"	"01007"	"85+ years"	"85+"	56	363	15427.0
	"Blount County, AL"	"01009"	"25-34 years"	"25-34"	14	6934	Unreliable
	"Blount County, AL"	"01009"	"35-44 years"	"35-44"	18	7067	Unreliable
	"Blount County, AL"	"01009"	"45-54 years"	"45-54"	43	7818	550.0
	"Blount County, AL"	"01009"	"55-64 years"	"55-64"	96	7630	1258.2
	"Blount County, AL"	"01009"	"65-74 years"	"65-74"	150	6243	2402.7
	"Blount County, AL"	"01009"	"75-84 years"	"75-84"	190	3273	5805.1
	"Blount County, AL"	"01009"	"85+ years"	"85+"	160	1032	15503.9
	"Bullock County, AL"	"01011"	"55-64 years"	"55-64"	20	1430	1398.6
	"Bullock County, AL"	"01011"	"65-74 years"	"65-74"	25	948	2637.1
	"Bullock County, AL"	"01011"	"75-84 years"	"75-84"	24	529	4536.9
	"Bullock County, AL"	"01011"	"85+ years"	"85+"	25	184	13587.0
	"Butler County, AL"	"01013"	"35-44 years"	"35-44"	13	2390	Unreliable
	"Butler County, AL"	"01013"	"45-54 years"	"45-54"	17	2313	Unreliable
	"Butler County, AL"	"01013"	"55-64 years"	"55-64"	36	2801	1285.3
	"Butler County, AL"	"01013"	"65-74 years"	"65-74"	78	2200	3545.5
	"Butler County, AL"	"01013"	"75-84 years"	"75-84"	71	1210	5867.8
	"Butler County, AL"	"01013"	"85+ years"	"85+"	65	585	11111.1
	"Calhoun County, AL"	"01015"	"15-24 years"	"15-24"	17	14777	Unreliable
	"Calhoun County, AL"	"01015"	"25-34 years"	"25-34"	34	15059	225.8
	"Calhoun County, AL"	"01015"	"35-44 years"	"35-44"	42	13646	307.8
	"Calhoun County, AL"	"01015"	"45-54 years"	"45-54"	122	14303	853.0
	"Calhoun County, AL"	"01015"	"55-64 years"	"55-64"	252	15958	1579.1
	"Calhoun County, AL"	"01015"	"65-74 years"	"65-74"	333	12076	2757.5
	"Calhoun County, AL"	"01015"	"75-84 years"	"75-84"	439	6060	7244.2
	"Calhoun County, AL"	"01015"	"85+ years"	"85+"	338	2111	16011.4
	"Chambers County, AL"	"01017"	"25-34 years"	"25-34"	11	4231	Unreliable
	"Chambers County, AL"	"01017"	"45-54 years"	"45-54"	32	4409	725.8
	"Chambers County, AL"	"01017"	"55-64 years"	"55-64"	57	4950	1151.5
	"Chambers County, AL"	"01017"	"65-74 years"	"65-74"	91	3840	2369.8
	"Chambers County, AL"	"01017"	"75-84 years"	"75-84"	110	1973	5575.3
	"Chambers County, AL"	"01017"	"85+ years"	"85+"	102	749	13618.2
	"Cherokee County, AL"	"01019"	"35-44 years"	"35-44"	15	2769	Unreliable
	"Cherokee County, AL"	"01019"	"45-54 years"	"45-54"	19	3590	Unreliable
	"Cherokee County, AL"	"01019"	"55-64 years"	"55-64"	51	4100	1243.9
	"Cherokee County, AL"	"01019"	"65-74 years"	"65-74"	75	3545	2115.7
	"Cherokee County, AL"	"01019"	"75-84 years"	"75-84"	99	1899	5213.3
	"Cherokee County, AL"	"01019"	"85+ years"	"85+"	74	536	13806.0
	"Chilton County, AL"	"01021"	"25-34 years"	"25-34"	11	5571	Unreliable
	"Chilton County, AL"	"01021"	"35-44 years"	"35-44"	25	5455	458.3
	"Chilton County, AL"	"01021"	"45-54 years"	"45-54"	36	5813	619.3
	"Chilton County, AL"	"01021"	"55-64 years"	"55-64"	73	5884	1240.7
	"Chilton County, AL"	"01021"	"65-74 years"	"65-74"	121	4461	2712.4
	"Chilton County, AL"	"01021"	"75-84 years"	"75-84"	120	2181	5502.1
	"Chilton County, AL"	"01021"	"85+ years"	"85+"	114	769	14824.4
	"Choctaw County, AL"	"01023"	"55-64 years"	"55-64"	14	2012	Unreliable
	"Choctaw County, AL"	"01023"	"65-74 years"	"65-74"	47	1668	2817.7
	"Choctaw County, AL"	"01023"	"75-84 years"	"75-84"	67	932	7188.8
	"Choctaw County, AL"	"01023"	"85+ years"	"85+"	39	353	11048.2
	"Clarke County, AL"	"01025"	"35-44 years"	"35-44"	10	2788	Unreliable
	"Clarke County, AL"	"01025"	"45-54 years"	"45-54"	15	3120	Unreliable
	"Clarke County, AL"	"01025"	"55-64 years"	"55-64"	40	3449	1159.8
	"Clarke County, AL"	"01025"	"65-74 years"	"65-74"	62	2597	2387.4
	"Clarke County, AL"	"01025"	"75-84 years"	"75-84"	84	1564	5370.8
	"Clarke County, AL"	"01025"	"85+ years"	"85+"	82	592	13851.4
	"Clay County, AL"	"01027"	"45-54 years"	"45-54"	15	1849	Unreliable
	"Clay County, AL"	"01027"	"55-64 years"	"55-64"	26	1959	1327.2
	"Clay County, AL"	"01027"	"65-74 years"	"65-74"	41	1525	2688.5
	"Clay County, AL"	"01027"	"75-84 years"	"75-84"	46	914	5032.8
	"Clay County, AL"	"01027"	"85+ years"	"85+"	44	312	14102.6
	"Cleburne County, AL"	"01029"	"55-64 years"	"55-64"	27	2016	1339.3
	"Cleburne County, AL"	"01029"	"65-74 years"	"65-74"	46	1692	2718.7
	"Cleburne County, AL"	"01029"	"75-84 years"	"75-84"	48	884	5429.9
	"Cleburne County, AL"	"01029"	"85+ years"	"85+"	35	339	10324.5
	"Coffee County, AL"	"01031"	"45-54 years"	"45-54"	41	6925	592.1
	"Coffee County, AL"	"01031"	"55-64 years"	"55-64"	94	6508	1444.4
	"Coffee County, AL"	"01031"	"65-74 years"	"65-74"	122	5178	2356.1
	"Coffee County, AL"	"01031"	"75-84 years"	"75-84"	162	2653	6106.3
	"Coffee County, AL"	"01031"	"85+ years"	"85+"	149	970	15360.8
	"Colbert County, AL"	"01033"	"25-34 years"	"25-34"	25	6937	360.4
	"Colbert County, AL"	"01033"	"35-44 years"	"35-44"	22	6321	348.0
	"Colbert County, AL"	"01033"	"45-54 years"	"45-54"	52	7166	725.6
	"Colbert County, AL"	"01033"	"55-64 years"	"55-64"	106	7745	1368.6
	"Colbert County, AL"	"01033"	"65-74 years"	"65-74"	156	6135	2542.8
	"Colbert County, AL"	"01033"	"75-84 years"	"75-84"	203	3493	5811.6
	"Colbert County, AL"	"01033"	"85+ years"	"85+"	206	1286	16018.7
	"Conecuh County, AL"	"01035"	"45-54 years"	"45-54"	13	1488	Unreliable
	"Conecuh County, AL"	"01035"	"55-64 years"	"55-64"	31	1917	1617.1
	"Conecuh County, AL"	"01035"	"65-74 years"	"65-74"	34	1553	2189.3
	"Conecuh County, AL"	"01035"	"75-84 years"	"75-84"	48	884	5429.9
	"Conecuh County, AL"	"01035"	"85+ years"	"85+"	40	325	12307.7
	"Coosa County, AL"	"01037"	"45-54 years"	"45-54"	13	1564	Unreliable
	"Coosa County, AL"	"01037"	"55-64 years"	"55-64"	26	1928	1348.5
	"Coosa County, AL"	"01037"	"65-74 years"	"65-74"	30	1447	2073.3
	"Coosa County, AL"	"01037"	"75-84 years"	"75-84"	39	764	5104.7
	"Coosa County, AL"	"01037"	"85+ years"	"85+"	32	270	11851.9
	"Covington County, AL"	"01039"	"35-44 years"	"35-44"	12	4029	Unreliable
	"Covington County, AL"	"01039"	"45-54 years"	"45-54"	28	4629	604.9
	"Covington County, AL"	"01039"	"55-64 years"	"55-64"	85	5499	1545.7
	"Covington County, AL"	"01039"	"65-74 years"	"65-74"	125	4326	2889.5
	"Covington County, AL"	"01039"	"75-84 years"	"75-84"	162	2485	6519.1
	"Covington County, AL"	"01039"	"85+ years"	"85+"	149	979	15219.6
	"Crenshaw County, AL"	"01041"	"45-54 years"	"45-54"	10	1767	Unreliable
	"Crenshaw County, AL"	"01041"	"55-64 years"	"55-64"	21	1999	1050.5
	"Crenshaw County, AL"	"01041"	"65-74 years"	"65-74"	55	1605	3426.8
	"Crenshaw County, AL"	"01041"	"75-84 years"	"75-84"	35	721	4854.4
	"Crenshaw County, AL"	"01041"	"85+ years"	"85+"	46	303	15181.5
	"Cullman County, AL"	"01043"	"25-34 years"	"25-34"	16	10770	Unreliable
	"Cullman County, AL"	"01043"	"35-44 years"	"35-44"	50	10023	498.9
	"Cullman County, AL"	"01043"	"45-54 years"	"45-54"	67	10700	626.2
	"Cullman County, AL"	"01043"	"55-64 years"	"55-64"	143	11372	1257.5
	"Cullman County, AL"	"01043"	"65-74 years"	"65-74"	226	9077	2489.8
	"Cullman County, AL"	"01043"	"75-84 years"	"75-84"	296	4919	6017.5
	"Cullman County, AL"	"01043"	"85+ years"	"85+"	277	1450	19103.4
	"Dale County, AL"	"01045"	"25-34 years"	"25-34"	17	7197	Unreliable
	"Dale County, AL"	"01045"	"35-44 years"	"35-44"	14	5673	Unreliable
	"Dale County, AL"	"01045"	"45-54 years"	"45-54"	35	5903	592.9
	"Dale County, AL"	"01045"	"55-64 years"	"55-64"	88	6420	1370.7
	"Dale County, AL"	"01045"	"65-74 years"	"65-74"	114	4778	2385.9
	"Dale County, AL"	"01045"	"75-84 years"	"75-84"	134	2594	5165.8
	"Dale County, AL"	"01045"	"85+ years"	"85+"	117	898	13029.0
	"Dallas County, AL"	"01047"	"15-24 years"	"15-24"	10	5011	Unreliable
	"Dallas County, AL"	"01047"	"25-34 years"	"25-34"	12	4483	Unreliable
	"Dallas County, AL"	"01047"	"35-44 years"	"35-44"	25	4246	588.8
	"Dallas County, AL"	"01047"	"45-54 years"	"45-54"	48	4522	1061.5
	"Dallas County, AL"	"01047"	"55-64 years"	"55-64"	100	5657	1767.7
	"Dallas County, AL"	"01047"	"65-74 years"	"65-74"	116	4138	2803.3
	"Dallas County, AL"	"01047"	"75-84 years"	"75-84"	128	2082	6147.9
	"Dallas County, AL"	"01047"	"85+ years"	"85+"	126	701	17974.3
	"DeKalb County, AL"	"01049"	"25-34 years"	"25-34"	14	8505	Unreliable
	"DeKalb County, AL"	"01049"	"35-44 years"	"35-44"	29	8761	331.0
	"DeKalb County, AL"	"01049"	"45-54 years"	"45-54"	47	9481	495.7
	"DeKalb County, AL"	"01049"	"55-64 years"	"55-64"	116	9320	1244.6
	"DeKalb County, AL"	"01049"	"65-74 years"	"65-74"	199	7375	2698.3
	"DeKalb County, AL"	"01049"	"75-84 years"	"75-84"	223	3740	5962.6
	"DeKalb County, AL"	"01049"	"85+ years"	"85+"	198	1207	16404.3
	"Elmore County, AL"	"01051"	"25-34 years"	"25-34"	22	11567	190.2
	"Elmore County, AL"	"01051"	"35-44 years"	"35-44"	23	10831	212.4
	"Elmore County, AL"	"01051"	"45-54 years"	"45-54"	59	11272	523.4
	"Elmore County, AL"	"01051"	"55-64 years"	"55-64"	119	10769	1105.0
	"Elmore County, AL"	"01051"	"65-74 years"	"65-74"	176	7545	2332.7
	"Elmore County, AL"	"01051"	"75-84 years"	"75-84"	212	3691	5743.7
	"Elmore County, AL"	"01051"	"85+ years"	"85+"	182	1164	15635.7
	"Escambia County, AL"	"01053"	"35-44 years"	"35-44"	15	4574	Unreliable
	"Escambia County, AL"	"01053"	"45-54 years"	"45-54"	43	4776	900.3
	"Escambia County, AL"	"01053"	"55-64 years"	"55-64"	94	4801	1957.9
	"Escambia County, AL"	"01053"	"65-74 years"	"65-74"	113	3786	2984.7
	"Escambia County, AL"	"01053"	"75-84 years"	"75-84"	103	2127	4842.5
	"Escambia County, AL"	"01053"	"85+ years"	"85+"	87	683	12737.9
	"Etowah County, AL"	"01055"	"15-24 years"	"15-24"	14	12441	Unreliable
	"Etowah County, AL"	"01055"	"25-34 years"	"25-34"	31	12419	249.6
	"Etowah County, AL"	"01055"	"35-44 years"	"35-44"	42	12287	341.8
	"Etowah County, AL"	"01055"	"45-54 years"	"45-54"	96	13874	691.9
	"Etowah County, AL"	"01055"	"55-64 years"	"55-64"	202	14035	1439.3
	"Etowah County, AL"	"01055"	"65-74 years"	"65-74"	340	11631	2923.2
	"Etowah County, AL"	"01055"	"75-84 years"	"75-84"	393	5873	6691.6
	"Etowah County, AL"	"01055"	"85+ years"	"85+"	332	1983	16742.3
	"Fayette County, AL"	"01057"	"45-54 years"	"45-54"	19	2127	Unreliable
	"Fayette County, AL"	"01057"	"55-64 years"	"55-64"	35	2364	1480.5
	"Fayette County, AL"	"01057"	"65-74 years"	"65-74"	54	1987	2717.7
	"Fayette County, AL"	"01057"	"75-84 years"	"75-84"	57	1145	4978.2
	"Fayette County, AL"	"01057"	"85+ years"	"85+"	58	340	17058.8
	"Franklin County, AL"	"01059"	"35-44 years"	"35-44"	16	3878	Unreliable
	"Franklin County, AL"	"01059"	"45-54 years"	"45-54"	20	4155	481.3
	"Franklin County, AL"	"01059"	"55-64 years"	"55-64"	47	3923	1198.1
	"Franklin County, AL"	"01059"	"65-74 years"	"65-74"	71	3005	2362.7
	"Franklin County, AL"	"01059"	"75-84 years"	"75-84"	122	1726	7068.4
	"Franklin County, AL"	"01059"	"85+ years"	"85+"	84	565	14867.3
	"Geneva County, AL"	"01061"	"35-44 years"	"35-44"	15	3027	Unreliable
	"Geneva County, AL"	"01061"	"45-54 years"	"45-54"	24	3558	674.5
	"Geneva County, AL"	"01061"	"55-64 years"	"55-64"	58	3775	1536.4
	"Geneva County, AL"	"01061"	"65-74 years"	"65-74"	86	3096	2777.8
	"Geneva County, AL"	"01061"	"75-84 years"	"75-84"	104	1667	6238.8
	"Geneva County, AL"	"01061"	"85+ years"	"85+"	96	578	16609.0
	"Greene County, AL"	"01063"	"55-64 years"	"55-64"	20	1264	1582.3
	"Greene County, AL"	"01063"	"65-74 years"	"65-74"	31	1072	2891.8
	"Greene County, AL"	"01063"	"75-84 years"	"75-84"	21	524	4007.6
	"Greene County, AL"	"01063"	"85+ years"	"85+"	26	241	10788.4
	"Hale County, AL"	"01065"	"45-54 years"	"45-54"	13	1722	Unreliable
	"Hale County, AL"	"01065"	"55-64 years"	"55-64"	26	2119	1227.0
	"Hale County, AL"	"01065"	"65-74 years"	"65-74"	39	1638	2381.0
	"Hale County, AL"	"01065"	"75-84 years"	"75-84"	35	841	4161.7
	"Hale County, AL"	"01065"	"85+ years"	"85+"	44	350	12571.4
	"Henry County, AL"	"01067"	"45-54 years"	"45-54"	16	2264	Unreliable
	"Henry County, AL"	"01067"	"55-64 years"	"55-64"	30	2390	1255.2
	"Henry County, AL"	"01067"	"65-74 years"	"65-74"	51	2362	2159.2
	"Henry County, AL"	"01067"	"75-84 years"	"75-84"	63	1125	5600.0
	"Henry County, AL"	"01067"	"85+ years"	"85+"	54	423	12766.0
	"Houston County, AL"	"01069"	"< 1 year"	"1"	14	1254	Unreliable
	"Houston County, AL"	"01069"	"15-24 years"	"15-24"	10	12440	Unreliable
	"Houston County, AL"	"01069"	"25-34 years"	"25-34"	22	13648	161.2
	"Houston County, AL"	"01069"	"35-44 years"	"35-44"	47	12878	365.0
	"Houston County, AL"	"01069"	"45-54 years"	"45-54"	59	13484	437.6
	"Houston County, AL"	"01069"	"55-64 years"	"55-64"	142	13868	1023.9
	"Houston County, AL"	"01069"	"65-74 years"	"65-74"	223	10921	2041.9
	"Houston County, AL"	"01069"	"75-84 years"	"75-84"	316	5681	5562.4
	"Houston County, AL"	"01069"	"85+ years"	"85+"	293	2037	14383.9
	"Jackson County, AL"	"01071"	"35-44 years"	"35-44"	19	6199	Unreliable
	"Jackson County, AL"	"01071"	"45-54 years"	"45-54"	54	6960	775.9
	"Jackson County, AL"	"01071"	"55-64 years"	"55-64"	130	7705	1687.2
	"Jackson County, AL"	"01071"	"65-74 years"	"65-74"	153	6080	2516.4
	"Jackson County, AL"	"01071"	"75-84 years"	"75-84"	183	3336	5485.6
	"Jackson County, AL"	"01071"	"85+ years"	"85+"	156	957	16300.9
	"Jefferson County, AL"	"01073"	"< 1 year"	"1"	69	8342	827.1
	"Jefferson County, AL"	"01073"	"1-4 years"	"1-4"	14	33540	Unreliable
	"Jefferson County, AL"	"01073"	"15-24 years"	"15-24"	119	82584	144.1
	"Jefferson County, AL"	"01073"	"25-34 years"	"25-34"	214	95925	223.1
	"Jefferson County, AL"	"01073"	"35-44 years"	"35-44"	266	83467	318.7
	"Jefferson County, AL"	"01073"	"45-54 years"	"45-54"	481	80367	598.5
	"Jefferson County, AL"	"01073"	"55-64 years"	"55-64"	1124	86631	1297.5
	"Jefferson County, AL"	"01073"	"65-74 years"	"65-74"	1450	61585	2354.5
	"Jefferson County, AL"	"01073"	"75-84 years"	"75-84"	1654	29519	5603.2
	"Jefferson County, AL"	"01073"	"85+ years"	"85+"	2052	13443	15264.4
	"Lamar County, AL"	"01075"	"45-54 years"	"45-54"	11	1812	Unreliable
	"Lamar County, AL"	"01075"	"55-64 years"	"55-64"	21	2022	1038.6
	"Lamar County, AL"	"01075"	"65-74 years"	"65-74"	27	1648	1638.3
	"Lamar County, AL"	"01075"	"75-84 years"	"75-84"	45	1024	4394.5
	"Lamar County, AL"	"01075"	"85+ years"	"85+"	39	326	11963.2
	"Lauderdale County, AL"	"01077"	"15-24 years"	"15-24"	14	13684	Unreliable
	"Lauderdale County, AL"	"01077"	"25-34 years"	"25-34"	17	11007	Unreliable
	"Lauderdale County, AL"	"01077"	"35-44 years"	"35-44"	33	9927	332.4
	"Lauderdale County, AL"	"01077"	"45-54 years"	"45-54"	59	11657	506.1
	"Lauderdale County, AL"	"01077"	"55-64 years"	"55-64"	150	12654	1185.4
	"Lauderdale County, AL"	"01077"	"65-74 years"	"65-74"	250	10595	2359.6
	"Lauderdale County, AL"	"01077"	"75-84 years"	"75-84"	294	5873	5006.0
	"Lauderdale County, AL"	"01077"	"85+ years"	"85+"	326	2095	15560.9
	"Lawrence County, AL"	"01079"	"25-34 years"	"25-34"	10	3965	Unreliable
	"Lawrence County, AL"	"01079"	"35-44 years"	"35-44"	16	3699	Unreliable
	"Lawrence County, AL"	"01079"	"45-54 years"	"45-54"	33	4705	701.4
	"Lawrence County, AL"	"01079"	"55-64 years"	"55-64"	87	4872	1785.7
	"Lawrence County, AL"	"01079"	"65-74 years"	"65-74"	81	3666	2209.5
	"Lawrence County, AL"	"01079"	"75-84 years"	"75-84"	108	1927	5604.6
	"Lawrence County, AL"	"01079"	"85+ years"	"85+"	83	558	14874.6
	"Lee County, AL"	"01081"	"< 1 year"	"1"	16	1867	Unreliable
	"Lee County, AL"	"01081"	"15-24 years"	"15-24"	15	35231	Unreliable
	"Lee County, AL"	"01081"	"25-34 years"	"25-34"	29	23253	124.7
	"Lee County, AL"	"01081"	"35-44 years"	"35-44"	26	19742	131.7
	"Lee County, AL"	"01081"	"45-54 years"	"45-54"	84	19328	434.6
	"Lee County, AL"	"01081"	"55-64 years"	"55-64"	157	17683	887.9
	"Lee County, AL"	"01081"	"65-74 years"	"65-74"	244	12160	2006.6
	"Lee County, AL"	"01081"	"75-84 years"	"75-84"	266	5520	4818.8
	"Lee County, AL"	"01081"	"85+ years"	"85+"	273	1801	15158.2
	"Limestone County, AL"	"01083"	"15-24 years"	"15-24"	13	11190	Unreliable
	"Limestone County, AL"	"01083"	"25-34 years"	"25-34"	15	12539	Unreliable
	"Limestone County, AL"	"01083"	"35-44 years"	"35-44"	37	13080	282.9
	"Limestone County, AL"	"01083"	"45-54 years"	"45-54"	65	14081	461.6
	"Limestone County, AL"	"01083"	"55-64 years"	"55-64"	149	12927	1152.6
	"Limestone County, AL"	"01083"	"65-74 years"	"65-74"	167	8822	1893.0
	"Limestone County, AL"	"01083"	"75-84 years"	"75-84"	235	4395	5347.0
	"Limestone County, AL"	"01083"	"85+ years"	"85+"	202	1391	14521.9
	"Lowndes County, AL"	"01085"	"45-54 years"	"45-54"	11	1270	Unreliable
	"Lowndes County, AL"	"01085"	"55-64 years"	"55-64"	21	1501	1399.1
	"Lowndes County, AL"	"01085"	"65-74 years"	"65-74"	36	1069	3367.6
	"Lowndes County, AL"	"01085"	"75-84 years"	"75-84"	28	596	4698.0
	"Lowndes County, AL"	"01085"	"85+ years"	"85+"	32	215	14883.7
	"Macon County, AL"	"01087"	"35-44 years"	"35-44"	10	1657	Unreliable
	"Macon County, AL"	"01087"	"45-54 years"	"45-54"	13	2058	Unreliable
	"Macon County, AL"	"01087"	"55-64 years"	"55-64"	57	2493	2286.4
	"Macon County, AL"	"01087"	"65-74 years"	"65-74"	66	2272	2904.9
	"Macon County, AL"	"01087"	"75-84 years"	"75-84"	48	1059	4532.6
	"Macon County, AL"	"01087"	"85+ years"	"85+"	58	425	13647.1
	"Madison County, AL"	"01089"	"< 1 year"	"1"	28	4095	683.8
	"Madison County, AL"	"01089"	"5-14 years"	"5-14"	10	44635	Unreliable
	"Madison County, AL"	"01089"	"15-24 years"	"15-24"	42	48609	86.4
	"Madison County, AL"	"01089"	"25-34 years"	"25-34"	78	51209	152.3
	"Madison County, AL"	"01089"	"35-44 years"	"35-44"	121	44638	271.1
	"Madison County, AL"	"01089"	"45-54 years"	"45-54"	240	49370	486.1
	"Madison County, AL"	"01089"	"55-64 years"	"55-64"	464	51530	900.4
	"Madison County, AL"	"01089"	"65-74 years"	"65-74"	652	31777	2051.8
	"Madison County, AL"	"01089"	"75-84 years"	"75-84"	824	17125	4811.7
	"Madison County, AL"	"01089"	"85+ years"	"85+"	888	6223	14269.6
	"Marengo County, AL"	"01091"	"35-44 years"	"35-44"	13	2083	Unreliable
	"Marengo County, AL"	"01091"	"45-54 years"	"45-54"	21	2421	867.4
	"Marengo County, AL"	"01091"	"55-64 years"	"55-64"	47	2679	1754.4
	"Marengo County, AL"	"01091"	"65-74 years"	"65-74"	59	2078	2839.3
	"Marengo County, AL"	"01091"	"75-84 years"	"75-84"	76	1149	6614.4
	"Marengo County, AL"	"01091"	"85+ years"	"85+"	71	510	13921.6
	"Marion County, AL"	"01093"	"35-44 years"	"35-44"	11	3343	Unreliable
	"Marion County, AL"	"01093"	"45-54 years"	"45-54"	23	4125	557.6
	"Marion County, AL"	"01093"	"55-64 years"	"55-64"	67	4188	1599.8
	"Marion County, AL"	"01093"	"65-74 years"	"65-74"	109	3485	3127.7
	"Marion County, AL"	"01093"	"75-84 years"	"75-84"	119	2135	5573.8
	"Marion County, AL"	"01093"	"85+ years"	"85+"	79	701	11269.6
	"Marshall County, AL"	"01095"	"15-24 years"	"15-24"	10	11562	Unreliable
	"Marshall County, AL"	"01095"	"25-34 years"	"25-34"	19	11971	Unreliable
	"Marshall County, AL"	"01095"	"35-44 years"	"35-44"	21	11242	186.8
	"Marshall County, AL"	"01095"	"45-54 years"	"45-54"	79	12325	641.0
	"Marshall County, AL"	"01095"	"55-64 years"	"55-64"	176	12579	1399.2
	"Marshall County, AL"	"01095"	"65-74 years"	"65-74"	249	9430	2640.5
	"Marshall County, AL"	"01095"	"75-84 years"	"75-84"	354	5266	6722.4
	"Marshall County, AL"	"01095"	"85+ years"	"85+"	277	1679	16497.9
	"Mobile County, AL"	"01097"	"< 1 year"	"1"	50	5284	946.3
	"Mobile County, AL"	"01097"	"5-14 years"	"5-14"	14	53399	Unreliable
	"Mobile County, AL"	"01097"	"15-24 years"	"15-24"	68	53409	127.3
	"Mobile County, AL"	"01097"	"25-34 years"	"25-34"	105	57908	181.3
	"Mobile County, AL"	"01097"	"35-44 years"	"35-44"	154	49528	310.9
	"Mobile County, AL"	"01097"	"45-54 years"	"45-54"	309	50523	611.6
	"Mobile County, AL"	"01097"	"55-64 years"	"55-64"	723	55012	1314.3
	"Mobile County, AL"	"01097"	"65-74 years"	"65-74"	1017	40078	2537.6
	"Mobile County, AL"	"01097"	"75-84 years"	"75-84"	1066	19725	5404.3
	"Mobile County, AL"	"01097"	"85+ years"	"85+"	983	7238	13581.1
	"Monroe County, AL"	"01099"	"35-44 years"	"35-44"	17	2309	Unreliable
	"Monroe County, AL"	"01099"	"45-54 years"	"45-54"	17	2775	Unreliable
	"Monroe County, AL"	"01099"	"55-64 years"	"55-64"	46	3130	1469.6
	"Monroe County, AL"	"01099"	"65-74 years"	"65-74"	63	2387	2639.3
	"Monroe County, AL"	"01099"	"75-84 years"	"75-84"	75	1321	5677.5
	"Monroe County, AL"	"01099"	"85+ years"	"85+"	69	567	12169.3
	"Montgomery County, AL"	"01101"	"< 1 year"	"1"	29	3013	962.5
	"Montgomery County, AL"	"01101"	"5-14 years"	"5-14"	11	28989	Unreliable
	"Montgomery County, AL"	"01101"	"15-24 years"	"15-24"	40	30751	130.1
	"Montgomery County, AL"	"01101"	"25-34 years"	"25-34"	54	32783	164.7
	"Montgomery County, AL"	"01101"	"35-44 years"	"35-44"	86	28083	306.2
	"Montgomery County, AL"	"01101"	"45-54 years"	"45-54"	141	27297	516.5
	"Montgomery County, AL"	"01101"	"55-64 years"	"55-64"	323	28464	1134.8
	"Montgomery County, AL"	"01101"	"65-74 years"	"65-74"	408	20192	2020.6
	"Montgomery County, AL"	"01101"	"75-84 years"	"75-84"	464	9969	4654.4
	"Montgomery County, AL"	"01101"	"85+ years"	"85+"	542	4012	13509.5
	"Morgan County, AL"	"01103"	"15-24 years"	"15-24"	11	14206	Unreliable
	"Morgan County, AL"	"01103"	"25-34 years"	"25-34"	31	14550	213.1
	"Morgan County, AL"	"01103"	"35-44 years"	"35-44"	50	14448	346.1
	"Morgan County, AL"	"01103"	"45-54 years"	"45-54"	96	16359	586.8
	"Morgan County, AL"	"01103"	"55-64 years"	"55-64"	207	16328	1267.8
	"Morgan County, AL"	"01103"	"65-74 years"	"65-74"	274	12081	2268.0
	"Morgan County, AL"	"01103"	"75-84 years"	"75-84"	335	6532	5128.6
	"Morgan County, AL"	"01103"	"85+ years"	"85+"	352	2190	16073.1
	"Perry County, AL"	"01105"	"55-64 years"	"55-64"	16	1183	Unreliable
	"Perry County, AL"	"01105"	"65-74 years"	"65-74"	25	940	2659.6
